Datetime,0
1998-05-02 00:00:00,31969
1998-05-02 01:00:00,31132
1998-05-02 02:00:00,27349
1998-05-02 03:00:00,29052
1998-05-02 04:00:00,28462
1998-05-02 05:00:00,26287
1998-05-02 06:00:00,25542
1998-05-02 07:00:00,21642
1998-05-02 08:00:00,21447
1998-05-02 09:00:00,21724
1998-05-02 10:00:00,24841
1998-05-02 11:00:00,27263
1998-05-02 12:00:00,26405
1998-05-02 13:00:00,27027
1998-05-02 14:00:00,28820
1998-05-02 15:00:00,36304
1998-05-02 16:00:00,41266
1998-05-02 17:00:00,36508
1998-05-02 18:00:00,43322
1998-05-02 19:00:00,41344
1998-05-02 20:00:00,46702
1998-05-02 21:00:00,43323
1998-05-02 22:00:00,37280
1998-05-02 23:00:00,30694
